Player,Season,Age,Tm,MP,G,TRB,AST,STL,BLK,TOV,PTS,FG%,3P%,TS%,PER,USG%,WS,BPM,VORP,Salary2,Adjusted Salary3
Arron Afflalo,2012-13,27,ORL,36,64,3.7,3.2,0.6,0.2,2.2,16.5,0.439,0.3,0.527,13,22.5,2,-2.9,-0.5,"$7,562,500 ","$8,953,803 "
Luke Ridnour,2012-13,31,MIN,30.2,82,2.5,3.8,1,0.2,1.6,11.5,0.453,0.311,0.532,13,18.3,4.3,-0.8,0.8,"$4,000,000 ","$4,735,896 "
Patrick Beverley,2016-17,28,HOU,30.7,67,5.9,4.2,1.5,0.4,1.5,9.5,0.42,0.382,0.546,13,14.1,5.3,1.1,1.6,"$6,000,000 ","$6,763,710 "
Andrew Wiggins,2017-18,22,MIN,36.3,82,4.4,2,1.1,0.6,1.7,17.7,0.438,0.331,0.505,13,23.4,2.1,-2.4,-0.3,"$7,574,322 ","$8,401,187 "
Courtney Lee,2017-18,32,NYK,30.4,76,2.9,2.4,1.1,0.2,1.1,12,0.454,0.406,0.564,13,16.9,3.9,-0.3,1,"$11,747,890 ","$13,030,371 "
Raymond Felton,2013-14,29,NYK,31,65,3,5.6,1.2,0.4,2,9.7,0.395,0.318,0.476,12.9,18.2,2.2,-1.2,0.4,"$4,180,000 ","$4,863,682 "
Draymond Green,2018-19,28,GSW,31.3,66,7.3,6.9,1.4,1.1,2.6,7.4,0.445,0.285,0.526,12.9,13.1,4.3,1.4,1.8,"$17,469,565 ","$18,835,786 "
Taurean Prince,2017-18,23,ATL,30,82,4.7,2.6,1,0.5,2.3,14.1,0.426,0.385,0.549,12.8,22.1,2,-1.1,0.6,"$2,422,560 ","$2,687,023 "
Klay Thompson,2012-13,22,GSW,35.8,82,3.7,2.2,1,0.5,1.9,16.6,0.422,0.401,0.533,12.7,21.8,4.3,-0.3,1.3,"$2,222,160 ","$2,630,979 "
Avery Bradley,2013-14,23,BOS,30.9,60,3.8,1.4,1.1,0.2,1.6,14.9,0.438,0.395,0.51,12.7,23.2,1.8,-1.9,0.1,"$2,511,432 ","$2,922,202 "
Trevor Ariza,2014-15,29,HOU,35.7,82,5.6,2.5,1.9,0.2,1.7,12.8,0.402,0.35,0.539,12.7,16.5,6.6,1,2.2,"$8,600,000 ","$9,803,458 "
Marcus Morris,2015-16,26,DET,35.7,80,5.1,2.5,0.8,0.3,1.8,14.1,0.434,0.362,0.531,12.7,18.4,5.4,-0.2,1.3,"$5,000,000 ","$5,692,639 "
Trey Burke,2014-15,22,UTA,30.1,76,2.7,4.3,0.9,0.2,1.6,12.8,0.368,0.318,0.455,12.6,23.9,2.4,-1.4,0.3,"$2,548,560 ","$2,905,197 "
Khris Middleton,2013-14,22,MIL,30,82,3.8,2.1,1,0.2,1.5,12.1,0.44,0.414,0.541,12.5,19.1,2.7,-2.3,-0.2,"$788,872 ","$917,900 "
P.J. Tucker,2014-15,29,PHO,30.6,78,6.4,1.6,1.4,0.3,1.2,9.1,0.438,0.345,0.541,12.5,13.9,4.9,0.4,1.4,"$5,700,000 ","$6,497,640 "
