Player,Season,Age,Tm,MP,G,TRB,AST,STL,BLK,TOV,PTS,FG%,3P%,TS%,PER,USG%,WS,BPM,VORP,Salary2,Adjusted Salary3
John Wall,2014-15,24,WAS,35.9,79,4.6,10,1.7,0.6,3.8,17.6,0.445,0.3,0.523,19.9,26.1,7.8,3.6,4,"$13,701,250 ","$15,618,561 "
Al Horford,2012-13,26,ATL,37.2,74,10.2,3.2,1.1,1.1,2,17.4,0.543,0.5,0.56,19.8,21.8,8.8,1.9,2.7,"$12,000,000 ","$14,207,688 "
Paul Millsap,2012-13,27,UTA,30.4,78,7.1,2.6,1.3,1,1.8,14.6,0.49,0.333,0.55,19.8,22.4,7.6,2.7,2.8,"$7,200,000 ","$8,524,613 "
John Wall,2015-16,25,WAS,36.2,77,4.9,10.2,1.9,0.8,4.1,19.9,0.424,0.351,0.51,19.8,28.6,5.7,3.5,3.9,"$14,728,844 ","$16,769,198 "
Al Jefferson,2014-15,30,CHO,30.6,65,8.4,1.7,0.7,1.3,1,16.6,0.481,0.4,0.5,19.7,26.3,4.7,1.6,1.8,"$13,500,000 ","$15,389,149 "
Reggie Jackson,2015-16,25,DET,30.7,79,3.2,6.2,0.7,0.1,2.8,18.8,0.434,0.353,0.535,19.6,29.1,6.9,2.7,2.8,"$13,913,044 ","$15,840,387 "
John Wall,2013-14,23,WAS,36.3,82,4.1,8.8,1.8,0.5,3.6,19.3,0.433,0.351,0.524,19.5,27.4,7.9,2.7,3.6,"$7,459,924 ","$8,680,071 "
Dwight Howard,2012-13,27,LAL,35.8,76,12.4,1.4,1.1,2.4,3,17.1,0.578,0.167,0.573,19.4,22.2,7.6,0.6,1.8,"$19,261,200 ","$22,804,761 "
Serge Ibaka,2012-13,23,OKC,31.1,80,7.7,0.5,0.4,3,1.6,13.2,0.573,0.351,0.612,19.4,18.1,9.4,1.5,2.2,"$2,253,061 ","$2,667,565 "
D'Angelo Russell,2018-19,22,BRK,30.2,81,3.9,7,1.2,0.2,3.1,21.1,0.434,0.369,0.533,19.4,31.9,5,3.4,3.4,"$7,019,698 ","$7,568,679 "
Jrue Holiday,2018-19,28,NOP,35.9,67,5,7.7,1.6,0.8,3.1,21.2,0.472,0.325,0.555,19.4,25.4,5.4,3,3.1,"$26,641,111 ","$28,724,600 "
David Lee,2012-13,29,GSW,36.8,79,11.2,3.5,0.8,0.3,2.6,18.5,0.519,0,0.561,19.2,23.2,9.1,1.8,2.8,"$12,744,000 ","$15,088,565 "
Derrick Favors,2013-14,22,UTA,30.2,73,8.7,1.2,1,1.5,1.8,13.3,0.522,0,0.556,19,20.8,5.1,0.1,1.2,"$6,008,106 ","$6,990,794 "
Ty Lawson,2013-14,26,DEN,35.8,62,3.5,8.8,1.6,0.2,3.2,17.6,0.431,0.356,0.554,19,22.7,6.3,2.3,2.5,"$10,786,517 ","$12,550,763 "
Marcin Gortat,2015-16,31,WAS,30.1,75,9.9,1.4,0.6,1.3,1.6,13.5,0.567,0,0.592,19,18.9,7.3,0.6,1.5,"$11,217,391 ","$12,771,311 "
Paul George,2017-18,27,OKC,36.6,79,5.7,3.3,2,0.5,2.7,21.9,0.43,0.401,0.57,18.7,25.7,8.9,2.9,3.6,"$19,300,000 ","$21,406,922 "
Damian Lillard,2013-14,23,POR,35.8,82,3.5,5.6,0.8,0.3,2.4,20.7,0.424,0.394,0.568,18.6,25,9.6,3.2,3.9,"$3,202,920 ","$3,726,790 "
Ty Lawson,2014-15,27,DEN,35.5,75,3.1,9.6,1.2,0.1,2.5,15.2,0.436,0.341,0.526,18.5,20.6,7,2.2,2.8,"$11,595,506 ","$13,218,146 "
DeMar DeRozan,2013-14,24,TOR,38.2,79,4.3,4,1.1,0.4,2.2,22.7,0.429,0.305,0.532,18.4,28,8.8,1.7,2.8,"$9,500,000 ","$11,053,823 "
Bradley Beal,2017-18,24,WAS,36.3,82,4.4,4.5,1.2,0.4,2.6,22.6,0.46,0.375,0.564,18.4,27.6,6.9,2.2,3.1,"$23,775,506 ","$26,371,006 "
Gordon Hayward,2015-16,25,UTA,36.2,80,5,3.7,1.2,0.3,2.5,19.7,0.433,0.349,0.559,18.3,25.7,8.9,2.6,3.3,"$15,409,570 ","$17,544,224 "
Joakim Noah,2012-13,27,CHI,36.8,66,11.1,4,1.2,2.1,2.7,11.9,0.481,0,0.534,18.1,17.2,7.3,3.4,3.3,"$11,050,000 ","$13,082,913 "
Ryan Anderson,2012-13,24,NOH,30.9,81,6.4,1.2,0.5,0.4,1.2,16.2,0.423,0.382,0.548,18.1,24,6.5,2,2.5,"$8,700,000 ","$10,300,574 "
Tyreke Evans,2012-13,23,SAC,31,65,4.4,3.5,1.4,0.4,2,15.2,0.478,0.338,0.558,18.1,22.3,4.4,1.8,1.9,"$5,251,824 ","$6,218,023 "
Shawn Marion,2012-13,34,DAL,30,67,7.8,2.4,1.1,0.7,1.5,12.1,0.514,0.315,0.553,18,19,5.3,2.2,2.1,"$8,646,364 ","$10,237,070 "
Jrue Holiday,2017-18,27,NOP,36.1,81,4.5,6,1.5,0.8,2.6,19,0.494,0.337,0.57,17.8,23.1,7.1,1.6,2.7,"$25,686,667 ","$28,490,803 "
Ricky Rubio,2015-16,25,MIN,30.6,76,4.3,8.7,2.1,0.1,2.5,10.1,0.374,0.326,0.529,17.6,17.7,5.8,1.8,2.3,"$12,700,000 ","$14,459,303 "
David West,2013-14,33,IND,30.9,80,6.8,2.8,0.8,0.9,1.7,14,0.488,0.267,0.533,17.5,21.9,8.1,2.6,2.9,"$12,000,000 ","$13,962,724 "
Khris Middleton,2017-18,26,MIL,36.4,82,5.2,4,1.5,0.3,2.3,20.1,0.466,0.359,0.577,17.4,24.6,6.9,0,1.5,"$14,100,000 ","$15,639,254 "
Jamal Crawford,2013-14,33,LAC,30.3,69,2.3,3.2,0.9,0.2,2,18.6,0.416,0.361,0.556,17.3,27.2,5.3,1.6,1.9,"$5,225,000 ","$6,079,602 "
Dennis Schröder,2017-18,24,ATL,31,67,3.1,6.2,1.1,0.1,2.7,19.4,0.436,0.29,0.515,17.3,30.4,2.6,-0.6,0.7,"$15,500,000 ","$17,192,088 "
Gorgui Dieng,2014-15,25,MIN,30,73,8.3,2,1,1.7,1.7,9.7,0.506,0.167,0.573,17.2,15,4.9,0.2,1.2,"$1,413,480 ","$1,611,278 "
Ryan Anderson,2015-16,27,NOP,30.4,66,6,1.1,0.6,0.4,1.4,17,0.427,0.366,0.546,17.2,24.7,3.9,-0.2,0.9,"$8,500,000 ","$9,677,486 "
CJ McCollum,2017-18,26,POR,36.1,81,4,3.4,1,0.4,1.9,21.4,0.443,0.397,0.536,17,26.5,6.6,1.2,2.4,"$23,962,573 ","$26,578,494 "
Trae Young,2018-19,20,ATL,30.9,81,3.7,8.1,0.9,0.2,3.8,19.1,0.418,0.324,0.539,17,28.4,3.3,-0.6,0.9,"$5,363,280 ","$5,782,719 "
Tobias Harris,2016-17,24,DET,31.3,82,5.1,1.7,0.7,0.5,1.2,16.1,0.481,0.347,0.568,16.9,21.7,6.8,1.6,2.3,"$17,200,000 ","$19,389,303 "
Paul George,2012-13,22,IND,37.6,79,7.6,4.1,1.8,0.6,2.9,17.4,0.419,0.362,0.531,16.8,23.5,9,3.8,4.4,"$2,574,120 ","$3,047,691 "
Kemba Walker,2013-14,23,CHA,35.8,73,4.2,6.1,1.2,0.4,2.3,17.7,0.393,0.333,0.499,16.8,25.8,5.1,1.7,2.4,"$2,709,720 ","$3,152,922 "
Monta Ellis,2013-14,28,DAL,36.9,82,3.6,5.7,1.7,0.3,3.2,19,0.451,0.33,0.532,16.8,26,4.9,-0.3,1.3,"$8,360,000 ","$9,727,364 "
Khris Middleton,2015-16,24,MIL,36.1,79,3.8,4.2,1.7,0.2,2.3,18.2,0.444,0.396,0.56,16.8,23,6.1,0.6,1.9,"$14,700,000 ","$16,736,358 "
Jrue Holiday,2012-13,22,PHI,37.5,78,4.2,8,1.6,0.4,3.7,17.7,0.431,0.368,0.496,16.7,26.6,3.3,0.5,1.9,"$2,674,851 ","$3,166,954 "
Marc Gasol,2018-19,34,TOT,30.8,79,7.9,4.4,1.1,1.1,2,13.6,0.448,0.363,0.546,16.7,20.7,6,3.1,3.1,"$24,119,025 ","$26,005,272 "
Tobias Harris,2013-14,21,ORL,30.3,61,7,1.3,0.7,0.4,1.3,14.6,0.464,0.254,0.542,16.5,22.2,4.1,-0.7,0.6,"$1,630,800 ","$1,897,534 "
Andrew Wiggins,2016-17,21,MIN,37.2,82,4,2.3,1,0.4,2.3,23.6,0.452,0.356,0.534,16.5,29,4.2,-1.7,0.2,"$6,006,600 ","$6,771,150 "
Khris Middleton,2018-19,27,MIL,31.1,77,6,4.3,1,0.1,2.3,18.3,0.441,0.378,0.558,16.5,25.1,6.1,0.8,1.7,"$13,000,000 ","$14,016,675 "
Damian Lillard,2012-13,22,POR,38.6,82,3.1,6.5,0.9,0.2,3,19,0.429,0.368,0.546,16.4,24.2,5.8,0.3,1.8,"$3,065,040 ","$3,628,927 "
Kawhi Leonard,2012-13,21,SAS,31.2,58,6,1.6,1.7,0.6,1.1,11.9,0.494,0.374,0.592,16.4,16.4,6.2,3.1,2.3,"$1,861,920 ","$2,204,464 "
Serge Ibaka,2016-17,27,TOT,30.7,79,6.8,0.9,0.5,1.6,1.3,14.8,0.48,0.391,0.566,16.4,20.9,5.1,0.1,1.2,"$12,250,000 ","$13,809,242 "
Harrison Barnes,2016-17,24,DAL,35.5,79,5,1.5,0.8,0.2,1.3,19.2,0.468,0.351,0.541,16.3,25.3,4.6,-0.8,0.8,"$22,116,750 ","$24,931,882 "
Monta Ellis,2012-13,27,MIL,37.5,82,3.9,6,2.1,0.4,3.1,19.2,0.416,0.287,0.493,16.2,26.3,4.6,0.6,2.1,"$11,000,000 ","$13,023,714 "
Gordon Hayward,2013-14,23,UTA,36.4,77,5.1,5.2,1.4,0.5,2.8,16.2,0.413,0.304,0.52,16.2,23.1,3.6,0.8,2,"$3,452,183 ","$4,016,823 "
J.J. Redick,2014-15,30,LAC,30.9,78,2.1,1.8,0.5,0.1,1.2,16.4,0.477,0.437,0.622,16.2,21,6.7,1.3,2,"$6,792,500 ","$7,743,021 "
Thaddeus Young,2018-19,30,IND,30.7,81,6.5,2.5,1.5,0.4,1.5,12.6,0.527,0.349,0.569,16.2,18,6.9,1.5,2.2,"$13,764,045 ","$14,840,473 "
Brandon Jennings,2012-13,23,MIL,36.2,80,3.1,6.5,1.6,0.1,2.5,17.5,0.399,0.375,0.51,16.1,23.7,5.8,1.1,2.2,"$3,179,493 ","$3,764,437 "
Chandler Parsons,2013-14,25,HOU,37.6,74,5.5,4,1.2,0.4,1.9,16.6,0.472,0.37,0.565,15.9,19.3,7.6,1.7,2.6,"$926,500 ","$1,078,038 "
DeMarre Carroll,2014-15,28,ATL,31.3,70,5.3,1.7,1.3,0.2,1.1,12.6,0.487,0.395,0.603,15.9,16.9,7,1.7,2,"$2,500,000 ","$2,849,842 "
Victor Oladipo,2014-15,22,ORL,35.7,72,4.2,4.1,1.7,0.3,2.8,17.9,0.436,0.339,0.527,15.9,25.2,3.5,-0.4,1.1,"$4,978,200 ","$5,674,834 "
J.J. Redick,2017-18,33,PHI,30.2,70,2.5,3,0.5,0.1,1.5,17.1,0.46,0.42,0.614,15.9,21.7,6.6,1.1,1.7,"$23,000,000 ","$25,510,840 "
Nicolas Batum,2013-14,25,POR,36,82,7.5,5.1,0.9,0.7,2.5,13,0.465,0.361,0.589,15.8,16.5,7.9,3.4,4,"$10,920,250 ","$12,706,370 "
Nicolas Batum,2012-13,24,POR,38.5,73,5.6,4.9,1.2,1.1,2.6,14.3,0.423,0.372,0.566,15.7,18.2,5.8,2.8,3.4,"$11,950,000 ","$14,148,490 "
Spencer Hawes,2013-14,25,TOT,30.9,80,8.3,3,0.6,1.2,2.2,13.2,0.456,0.416,0.554,15.7,19.6,4.5,0.6,1.6,"$6,500,000 ","$7,563,142 "
Deron Williams,2014-15,30,BRK,31.1,68,3.5,6.6,0.9,0.3,2.3,13,0.387,0.367,0.504,15.7,22.3,3.6,0.2,1.2,"$19,754,465 ","$22,518,845 "
Rudy Gay,2012-13,26,TOT,35.8,75,6.1,2.7,1.5,0.7,2.6,18.2,0.416,0.323,0.494,15.6,27.2,4,1.1,2.1,"$16,460,532 ","$19,488,842 "
Khris Middleton,2014-15,23,MIL,30.1,79,4.4,2.3,1.5,0.1,1.4,13.4,0.467,0.407,0.563,15.6,19.9,6.7,1.6,2.2,"$915,243 ","$1,043,319 "
T.J. Warren,2016-17,23,PHO,31,66,5.1,1.1,1.2,0.6,0.9,14.4,0.495,0.265,0.539,15.6,19.2,4.1,-0.6,0.7,"$2,128,920 ","$2,399,899 "
Marcin Gortat,2012-13,28,PHO,30.8,61,8.5,1.2,0.7,1.6,1.6,11.1,0.521,0,0.543,15.4,17.2,3.4,-0.5,0.7,"$7,258,960 ","$8,594,420 "
Marcin Gortat,2016-17,32,WAS,31.2,82,10.4,1.5,0.5,0.7,1.5,10.8,0.579,0,0.593,15.4,14.7,6.8,-0.8,0.8,"$12,000,000 ","$13,527,421 "
Chandler Parsons,2012-13,24,HOU,36.3,76,5.3,3.5,1,0.4,1.9,15.5,0.486,0.385,0.584,15.3,18.3,7,2,2.8,"$888,250 ","$1,051,664 "
